init_population: 100, number_of_games: 100, generations: 1000, mutation_rate: 0.3, tournament_size: 2, height_min: 1850000, height_max: 1950000, dev_min: 1.2, dev_max: 1.3, input_db_path: ./lichessDB.pgn, output_path: ./output17.txt
Generation: 0, Rank: 0, Height: 1874881.2257965188, Dev: 1.2791774228097295, Fitness: 4.476704204231077
Generation: 0, Rank: 1, Height: 1874881.2257965188, Dev: 1.2791774228097295, Fitness: 4.476704204231077
Generation: 0, Rank: 2, Height: 1880544.973616987, Dev: 1.2706889811957498, Fitness: 4.476772320529022
Generation: 0, Rank: 3, Height: 1889009.7870812495, Dev: 1.2699851206310981, Fitness: 4.4767749542926065
Generation: 0, Rank: 4, Height: 1889009.7870812495, Dev: 1.2699851206310981, Fitness: 4.4767749542926065
Generation: 0, Rank: 5, Height: 1913586.2285052366, Dev: 1.242197513017697, Fitness: 4.47682779961211
Generation: 0, Rank: 6, Height: 1898778.1784235511, Dev: 1.2613397371802044, Fitness: 4.476881280714723
Generation: 0, Rank: 7, Height: 1898144.914298994, Dev: 1.2594378500370933, Fitness: 4.476881280714723
Generation: 0, Rank: 8, Height: 1900409.5576035415, Dev: 1.2603678276455064, Fitness: 4.476881280714723
Generation: 0, Rank: 9, Height: 1888681.2708754444, Dev: 1.2648537815502916, Fitness: 4.476881280714723
Generation: 0, Rank: 10, Height: 1894134.6947215826, Dev: 1.2640299447555043, Fitness: 4.476881280714723
Generation: 0, Rank: 11, Height: 1906850.0650839652, Dev: 1.2590640320550408, Fitness: 4.476936919703168
Generation: 0, Rank: 12, Height: 1905760.58624321, Dev: 1.2586615476650191, Fitness: 4.476936919703168
Generation: 0, Rank: 13, Height: 1898687.016654776, Dev: 1.2498667890510071, Fitness: 4.476996694013465
Generation: 0, Rank: 14, Height: 1912695.4117218845, Dev: 1.2478067830345538, Fitness: 4.47700121956191
Generation: 0, Rank: 15, Height: 1909421.641263802, Dev: 1.2530439066939223, Fitness: 4.477008512432859
Generation: 0, Rank: 16, Height: 1898128.1174399843, Dev: 1.2582895326221761, Fitness: 4.477012676655054
Generation: 0, Rank: 17, Height: 1893667.2880673436, Dev: 1.2484460788208245, Fitness: 4.477043505482449
Generation: 0, Rank: 18, Height: 1896044.8964953371, Dev: 1.2466939335557332, Fitness: 4.477043505482449
Generation: 0, Rank: 19, Height: 1943720.2386908645, Dev: 1.2412521781984207, Fitness: 4.47704353762753
Generation: 0, Rank: 20, Height: 1922598.2696976583, Dev: 1.2546721820761553, Fitness: 4.477063292796867
Generation: 0, Rank: 21, Height: 1910356.0868124766, Dev: 1.2390665820767726, Fitness: 4.477066165381952
Generation: 0, Rank: 22, Height: 1892040.4937615106, Dev: 1.2577946616125477, Fitness: 4.477085872380423
Generation: 0, Rank: 23, Height: 1897028.7303109462, Dev: 1.256565033029979, Fitness: 4.477085872380423
Generation: 0, Rank: 24, Height: 1892859.4470675169, Dev: 1.2604943725311575, Fitness: 4.477085872380423
Generation: 0, Rank: 25, Height: 1898225.5342638541, Dev: 1.2452541624210118, Fitness: 4.477109525156312
Generation: 0, Rank: 26, Height: 1899410.8794822474, Dev: 1.2760610247694024, Fitness: 4.477111067317523
Generation: 0, Rank: 27, Height: 1892245.733561305, Dev: 1.2542277522545504, Fitness: 4.477116572713906
Generation: 0, Rank: 28, Height: 1894272.0936840887, Dev: 1.2536361850121902, Fitness: 4.477116572713906
Generation: 0, Rank: 29, Height: 1888606.2438340634, Dev: 1.2566343913167684, Fitness: 4.477116572713906
Generation: 0, Rank: 30, Height: 1916733.402083571, Dev: 1.2576253671083362, Fitness: 4.477137564929963
Generation: 0, Rank: 31, Height: 1889659.8635152138, Dev: 1.2744445617142672, Fitness: 4.477162272930398
Generation: 0, Rank: 32, Height: 1948523.2704851876, Dev: 1.2372762726447477, Fitness: 4.477173452796406
Generation: 0, Rank: 33, Height: 1879066.367566704, Dev: 1.2820437623622796, Fitness: 4.47718410414083
Generation: 0, Rank: 34, Height: 1911455.4739415147, Dev: 1.2493137999265527, Fitness: 4.477184874291019
Generation: 0, Rank: 35, Height: 1898357.2598010967, Dev: 1.2781702149619343, Fitness: 4.477185339450619
Generation: 0, Rank: 36, Height: 1883055.7788837554, Dev: 1.2596060129531836, Fitness: 4.477188211083417
Generation: 0, Rank: 37, Height: 1919680.0904715357, Dev: 1.2571228223690554, Fitness: 4.4772261702817255
Generation: 0, Rank: 38, Height: 1917406.7673425027, Dev: 1.2589886139379183, Fitness: 4.4772261702817255
Generation: 0, Rank: 39, Height: 1920659.7980936707, Dev: 1.2576597420861857, Fitness: 4.4772261702817255
Generation: 0, Rank: 40, Height: 1930146.0912709283, Dev: 1.2558265809871378, Fitness: 4.477243725513185
Generation: 0, Rank: 41, Height: 1925613.7800432455, Dev: 1.2734430694472882, Fitness: 4.477255085203167
Generation: 0, Rank: 42, Height: 1875372.164245272, Dev: 1.285202170125755, Fitness: 4.477257299866199
Generation: 0, Rank: 43, Height: 1871079.073923831, Dev: 1.2959451715916692, Fitness: 4.4772574764515145
Generation: 0, Rank: 44, Height: 1898516.8284104404, Dev: 1.2386761455871944, Fitness: 4.477259961802163
Generation: 0, Rank: 45, Height: 1908661.8343972357, Dev: 1.296474039124068, Fitness: 4.477274750646139
Generation: 0, Rank: 46, Height: 1905317.2965575177, Dev: 1.232457265300072, Fitness: 4.477279668343609
Generation: 0, Rank: 47, Height: 1899891.3219357617, Dev: 1.2353831904916646, Fitness: 4.477279668343609
Generation: 0, Rank: 48, Height: 1865750.3908771116, Dev: 1.2182980548239013, Fitness: 4.47729968928849
